global_rank,page_position,page,ad_type,ad_subtype,asin,title,url,price_current,price_list,price_unit,rating_stars,rating_count,spec,variation_options,sales,coupon,delivery_primary,delivery_secondary,is_prime,is_amazon_fulfilled,image_small,image_large,brand_name,scraped_at,inner_products_count
20,23,1,Organic,,B07RPNBLWK,"Cotton Paradise 6 Piece Towel Set, 100% Cotton Soft Absorbent Turkish Towels for Bathroom, 2 Bath Towels 2 Hand Towels 2 Washcloths, Beige Towel Set",N/A,CNY 232.13,,CNY 273.10,4.4,,,,,,,,False,False,https://m.media-amazon.com/images/I/91kN6m4K0oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91kN6m4K0oL._AC_SL1500_.jpg,,2026-04-14T11:33:17.550255,
21,24,1,Organic,,B07B6GC2R5,"Amazon Basics 2-Piece Quick-Dry Oversize Bath Towel, 100% Cotton, 54"" x 30"", White",N/A,CNY 126.34,,CNY 63.17,4.1,,,,,,,,False,False,https://m.media-amazon.com/images/I/61kQk2OvjvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61kQk2OvjvL._AC_SL1500_.jpg,,2026-04-14T11:33:17.561999,
22,25,1,Organic,,B09ZTS9ZC9,"Orighty Bath Towels Pack of 2(27'' x 54'') - Soft Feel, Highly Absorbent, Quick Drying Microfiber for Body, Sport, Yoga, SPA, Fitness - Grey",N/A,CNY 92.13,,CNY 46.10,4.3,,,,,,,,False,False,https://m.media-amazon.com/images/I/71D-QQImzWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71D-QQImzWL._AC_SL1500_.jpg,,2026-04-14T11:33:17.570823,
23,26,1,Organic,,B085MCLJ4W,"LANE LINEN 100% Cotton Bathroom Towel Set of 24 - Durable, Soft & Absorbent - 4 Bath, 4 Fingertip, 6 Hand, 8 Washcloths, 2 Bath Sheets, Hotel & Spa-Quality Design - White Towels",N/A,CNY 430.17,,CNY 17.89,4.3,,,,,,,,False,False,https://m.media-amazon.com/images/I/914IYYJfjcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/914IYYJfjcL._AC_SL1500_.jpg,,2026-04-14T11:33:17.580938,
24,27,1,Organic,,B008C8J5QC,"Utopia Towels, Salon Towel, Pack of 24, Not Bleach Proof, 16 by 27 Inches, Highly Absorbent Cotton Towels for Hand, Gym, Beauty, Spa, and Home Hair Care, Black",N/A,CNY 273.10,,CNY 11.40,4.5,,,,,,,,False,False,https://m.media-amazon.com/images/I/91-JpSMKXDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91-JpSMKXDL._AC_SL1500_.jpg,,2026-04-14T11:33:17.592104,
25,28,1,Organic,,B0812B1FMQ,"Clean Skin Club Clean Towels XL®, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Makeup Remover Dry Wipes, Ultra Soft, 50 ct per pack, 2 Packs, 100 Ct Total",N/A,CNY 245.17,,CNY 2.46,4.8,,,,,,,,False,False,https://m.media-amazon.com/images/I/819VWIUIXSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/819VWIUIXSL._AC_SL1500_.jpg,,2026-04-14T11:33:17.598638,
26,29,1,Organic,,B0DF8RSVJK,"Scott Paper Towels, Choose-A-Sheet, 6 Double Rolls = 12 Regular Rolls (108 Sheets Per Roll)",N/A,CNY 46.71,,CNY 7.24,4.6,,,,,,,,False,False,https://m.media-amazon.com/images/I/81GimKZfzDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81GimKZfzDL._AC_SL1500_.jpg,,2026-04-14T11:33:17.604146,
27,30,1,Organic,,B0BTJBYRSY,"ZUPERIA 7-Pack Bath Towels - 30"" x 54"" - Ultra Soft 100% Cotton Large Bath Towels- Highly Absorbent for Bathroom, Pool, Gym, Spa, and Hotel Use (Colors Variety)",N/A,CNY 232.13,,CNY 33.19,4.0,,,,,,,,False,False,https://m.media-amazon.com/images/I/81hGwSXlq6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hGwSXlq6L._AC_SL1500_.jpg,,2026-04-14T11:33:17.610922,
28,31,1,Organic,,B07B9LMRPH,"Chakir Turkish Linens | Hotel & Spa Quality 100% Cotton Premium Turkish Towels | Soft & Absorbent (4-Piece Bath Towels, Gray)",N/A,CNY 233.49,,CNY 58.39,4.3,,,,,,,,False,False,https://m.media-amazon.com/images/I/91VN6LbuEdL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91VN6LbuEdL._AC_SL1500_.jpg,,2026-04-14T11:33:17.622981,
29,32,1,Organic,,B07CFRTNMC,"Amazon Basics Soft and Thick Cotton Hand Towels for Gym, 16 x 26 in, Gray, 12-Pack",N/A,CNY 136.52,,CNY 11.40,4.7,,,,,,,,False,False,https://m.media-amazon.com/images/I/81+8d9PbTKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+8d9PbTKL._AC_SL1500_.jpg,,2026-04-14T11:33:17.636034,
30,33,1,Organic,,B0DWSY83M4,"Utopia Towels 6 Pack Bath Towel Set (27 x 54 Inches), 500 GSM 100% Ring Spun Cotton Medium Lightweight and Highly Absorbent Quick Drying, Premium Towels for Hotel, Spa and Bathroom (Grey)",N/A,,,,4.3,,,,,,,,False,False,https://m.media-amazon.com/images/I/91NMunqj+rL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91NMunqj+rL._AC_SL1500_.jpg,,2026-04-14T11:33:17.650190,
31,34,1,Organic,,B0BF4CYDTH,"POLYTE 430 GSM Microfiber Quick Dry Lint Free Oversize Bath Towel Set, 6 Piece (Waffle Weave)",N/A,CNY 245.78,,,4.4,,,,,,,,False,False,https://m.media-amazon.com/images/I/917f+8VuybL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/917f+8VuybL._AC_SL1500_.jpg,,2026-04-14T11:33:17.657260,
32,35,1,Organic,,B07B6CDT7T,"Amazon Basics 2-Piece Quick-Dry Oversize Bath Towel, 100% Cotton, 54"" x 30"", Lake Blue",N/A,CNY 136.58,,CNY 68.29,4.1,,,,,,,,False,False,https://m.media-amazon.com/images/I/81yFGYQDdLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yFGYQDdLL._AC_SL1500_.jpg,,2026-04-14T11:33:17.669917,
33,36,1,Organic,,B079VP6DH5,"Bounty Paper Towels Quick Size, White, 16 Family Rolls = 40 Regular Rolls",N/A,,,,4.8,,,,,,,,False,False,https://m.media-amazon.com/images/I/81JieznBIhL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81JieznBIhL._AC_SL1500_.jpg,,2026-04-14T11:33:17.675129,
34,37,1,Organic,,B0CCW8QR2K,"NY Loft 6-Piece Cotton Towel Set - Super Soft & Absorbent, Quick-Dry, Sand Color, OEKO-TEX Certified, Machine Washable",N/A,CNY 682.85,,CNY 113.84,4.3,,,,,,,,False,False,https://m.media-amazon.com/images/I/81MTuEnMV-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81MTuEnMV-L._AC_SL1500_.jpg,,2026-04-14T11:33:17.682698,
35,38,1,Organic,,B08LBKXYWF,"Tens Towels Pack of 8 Towels Set, 2 Extra Large Bath, 2 Hand, 4 Washcloths, 100% Cotton, Lighter Weight, Quicker to Dry, Super Absorbent, Perfect for Bathroom, Dark Grey",N/A,CNY 218.19,,CNY 231.85,4.4,,,,,,,,False,False,https://m.media-amazon.com/images/I/917M+2Zic6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/917M+2Zic6L._AC_SL1500_.jpg,,2026-04-14T11:33:17.691960,
36,39,1,Organic,,B07SLR3T9F,"Hawmam Linen White Bath Towels 4 Pack 27 x 54 Inches 100% Turkish Cotton Soft Lightweight and Highly Absorbent Quick Drying Towels, Premium Quality Perfect for Daily Use",N/A,CNY 201.53,,CNY 50.40,4.3,,,,,,,,False,False,https://m.media-amazon.com/images/I/81ep3f8V2QL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ep3f8V2QL._AC_SL1500_.jpg,,2026-04-14T11:33:17.700020,
37,40,1,Organic,,B091JGHYTH,"QUBA LINEN Hotel & Spa 100% Cotton Bath Towels Pack of 6, Ultra Soft, Quick Dry, Lightweight, Highly Absorbent, Perfect for Face, Hands, Spa, Gym, Hotel, Resort & Daily Use - Grey (24"" x 48"")",N/A,CNY 191.15,,CNY 31.89,3.4,,,,,,,,False,False,https://m.media-amazon.com/images/I/910-5ZPtvZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/910-5ZPtvZL._AC_SL1500_.jpg,,2026-04-14T11:33:17.709115,
38,41,1,Organic,,B00WFUPHF6,"COTTON CRAFT- Euro Spa Set of 4 Luxury Waffle Weave Bath Towels, Oversized Pure Ringspun Cotton, 30 inch x 56 inch, White",N/A,CNY 259.44,,CNY 64.88,4.4,,,,,,,,False,False,https://m.media-amazon.com/images/I/81yOJaoponL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yOJaoponL._AC_SL1500_.jpg,,2026-04-14T11:33:17.722224,
39,42,1,Organic,,B07C9RJV83,"Chakir Turkish Linens Premium Quality 100% Cotton Turkish Cabana Thick Stripe Pool Beach Towels 4-Pack (Light Blue, 30x60 Inch)",N/A,CNY 320.91,,CNY 80.24,4.6,,,,,,,,False,False,https://m.media-amazon.com/images/I/71MCgEXWcVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MCgEXWcVL._AC_SL1500_.jpg,,2026-04-14T11:33:17.733895,
40,43,1,Organic,,B010S5WEZA,"Amazon Basics Highly Absorbent, Fast Drying 100% Cotton Washcloths for Bathroom, Machine Washable, Soft, 12 x 12 in, White, 60-Pack",N/A,CNY 293.59,,CNY 4.92,4.6,,,,,,,,False,False,https://m.media-amazon.com/images/I/61NBfRkYLKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61NBfRkYLKL._AC_SL1500_.jpg,,2026-04-14T11:33:17.749949,
