rank,page,ad_type,ad_rank,asin,title,url,price_current,price_list,price_unit,rating_stars,rating_count,spec,variation_options,sales,coupon,delivery_primary,delivery_secondary,is_prime,is_amazon_fulfilled,image_small,image_large,scraped_at,inner_products_count
26,1,Organic,,B081FJHMYF,"KAHAF Collection 6-Pack Bath Towels - Lightweight - Extra Absorbent - 100% Cotton - Shower towels (Multi, 27 inchesx54 inches)",N/A,CNY 184.32,,CNY 30.73,4.0,,,3 sizes,,,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81UwogJF3yL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UwogJF3yL._AC_SL1500_.jpg,2026-04-14T11:03:25.135244,
27,1,Organic,,B00WFUPHF6,"COTTON CRAFT- Euro Spa Set of 4 Luxury Waffle Weave Bath Towels, Oversized Pure Ringspun Cotton, 30 inch x 56 inch, White",N/A,CNY 259.44,,CNY 64.88,4.4,,,5 sizes,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81yOJaoponL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yOJaoponL._AC_SL1500_.jpg,2026-04-14T11:03:25.148503,
28,1,Organic,,B08LBKXYWF,"Tens Towels Pack of 8 Towels Set, 2 Extra Large Bath, 2 Hand, 4 Washcloths, 100% Cotton, Lighter Weight, Quicker to Dry, Super Absorbent, Perfect for Bathroom, Dark Grey",N/A,CNY 218.19,,CNY 231.85,4.4,,,,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/917M+2Zic6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/917M+2Zic6L._AC_SL1500_.jpg,2026-04-14T11:03:25.161239,
29,1,Organic,,B093CJRVX8,"Modern Threads Floral Trail 6-Piece 100% Cotton Towel Set – Reversible Yarn Dyed Jacquard - Includes 2 Bath Towels, 2 Hand Towels, 2 Washcloths – Absorbent, Quick Dry, Soft & Durable – Navy",N/A,,,,4.4,,,,,,,,False,False,https://m.media-amazon.com/images/I/91WqO64F3KL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91WqO64F3KL._AC_SL1500_.jpg,2026-04-14T11:03:25.175964,
31,1,Organic,,B098T6CYQJ,"Unifree Disposable Bath Towels 丨Camping Towel I Gym Towel I Barber Towel 20 Count, Individually Packed, Large Size 27.5 by 55 inches (27.5“x55”)",N/A,CNY 273.10,,"CNY 1,365.50",4.7,,,2 sizes,,,"CNY 105.44 delivery Fri, Apr 24",,False,False,https://m.media-amazon.com/images/I/71CvZJ01+rL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71CvZJ01+rL._AC_SL1500_.jpg,2026-04-14T11:03:25.181578,
32,1,Organic,,B0BF4CYDTH,"POLYTE 430 GSM Microfiber Quick Dry Lint Free Oversize Bath Towel Set, 6 Piece (Waffle Weave)",N/A,CNY 245.78,,,4.4,,,,,,"CNY 86.12 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/917f+8VuybL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/917f+8VuybL._AC_SL1500_.jpg,2026-04-14T11:03:25.191628,
33,1,Organic,,B0FHVWM2B1,"HOMEXCEL Grey Bath Towels 2 Pack, Microfiber Bathroom Towel, Super Soft Highly Absorbent Bath Towel Set, Quick Drying Towels for Sport, Yoga, SPA, Fitness",N/A,CNY 81.88,,CNY 40.98,4.2,,,2 sizes,,,"CNY 47.80 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81hygPimWaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hygPimWaL._AC_SL1500_.jpg,2026-04-14T11:03:25.199527,
34,1,Organic,,B07B6CDT7T,"Amazon Basics 2-Piece Quick-Dry Oversize Bath Towel, 100% Cotton, 54"" x 30"", Lake Blue",N/A,CNY 136.58,,CNY 68.29,4.1,,,10 sizes,,,"CNY 72.12 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81yFGYQDdLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yFGYQDdLL._AC_SL1500_.jpg,2026-04-14T11:03:25.215054,
35,1,Organic,,B07CFRTNMC,"Amazon Basics Soft and Thick Cotton Hand Towels for Gym, 16 x 26 in, Gray, 12-Pack",N/A,CNY 136.52,,CNY 11.40,4.7,,,3 sizes,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81+8d9PbTKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+8d9PbTKL._AC_SL1500_.jpg,2026-04-14T11:03:25.232492,
36,1,Organic,,B000UC5R92,Genuine Joe GJO22600 Embossed Hardwound Roll Towels (Pack of 6),N/A,CNY 230.28,,CNY 0.96,4.4,,6 Count (Pack of 1),6 sizes,,,CNY 669.47 delivery,,False,False,https://m.media-amazon.com/images/I/619JNtDCqEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/619JNtDCqEL._AC_SL1500_.jpg,2026-04-14T11:03:25.239127,
